ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,AMBIANT_AIR_TEMP,BAROMETRIC_PRESSURE,CALIBRATION_ID,CATALYST_TEMP_B1S1,CLEAR_DTC,COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,CVN,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_AMBIANT_AIR_TEMP,DTC_BAROMETRIC_PRESSURE,DTC_CATALYST_TEMP_B1S1,DTC_COMMANDED_EQUIV_RATIO,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_LEVEL,DTC_FUEL_STATUS,DTC_FUEL_TYPE,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_LONG_O2_TRIM_B1,DTC_O2_B1S2,DTC_O2_S1_WR_CURRENT,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_STATUS_DRIVE_CYCLE,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_LEVEL,FUEL_STATUS,FUEL_TYPE,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,LONG_O2_TRIM_B1,MIDS_A,MIDS_B,MIDS_C,MIDS_D,MIDS_E,MIDS_F,MONITOR_CATALYST_B1,MONITOR_MISFIRE_CYLINDER_1,MONITOR_MISFIRE_CYLINDER_2,MONITOR_MISFIRE_CYLINDER_3,MONITOR_MISFIRE_CYLINDER_4,MONITOR_O2_B1S1,MONITOR_O2_B1S2,MONITOR_O2_HEATER_B1S1,MONITOR_O2_HEATER_B1S2,MONITOR_PURGE_FLOW,MONITOR_VVT_B1,O2_B1S2,O2_S1_WR_CURRENT,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,STATUS_DRIVE_CYCLE,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,VIN,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:16,No Signal,,,1.47,1.47,8.8,-0.03,0.01,-0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:16,No Signal,,,1.56,1.76,8.89,-0.01,0.01,-0.0,DETECTED
47.05882352941176 percent,30.58823529411765 percent,30.58823529411765 percent,40 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),414.3 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,54.90196078431372 percent,7.450980392156863 percent,13.72549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],87 kilopascal,56 degree_Celsius,0.78125 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 1.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.715 volt,0.015625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,11.372549019607844 percent,1194.0 revolutions_per_minute,349.0 second,1.5625 percent,17.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7c9562b0bac0>,<obd.OBDResponse.Status object at 0x7c9562b0bb80>,14.117647058823529 percent,21.568627450980394 percent,21.176470588235293 percent,8.0 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-24 12:56:23,2025-04-24 12:56:28,2025-04-24 12:56:23,No Signal,,,1.26,1.51,8.75,-0.04,-0.0,0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:23,No Signal,,,1.28,1.66,9.18,-0.03,0.02,0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:23,No Signal,,,1.54,1.72,8.86,-0.0,0.05,0.0,NO
58.03921568627451 percent,31.372549019607842 percent,31.372549019607842 percent,40 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),426.6 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.9 volt,59.6078431372549 percent,98.43137254901961 percent,13.72549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],114 kilopascal,57 degree_Celsius,1.5625 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.7 volt,-0.2421875 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,3.1372549019607843 percent,1273.5 revolutions_per_minute,356.0 second,-1.5625 percent,26.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7c9562b22020>,<obd.OBDResponse.Status object at 0x7c9562b220e0>,7.0588235294117645 percent,16.07843137254902 percent,16.470588235294116 percent,9.5 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-24 12:56:29,2025-04-24 12:56:34,2025-04-24 12:56:29,No Signal,,,1.52,1.97,8.53,0.01,0.05,0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:29,No Signal,,,1.11,2.64,8.98,-0.02,0.01,0.04,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:29,No Signal,,,1.49,1.87,9.06,-0.05,0.12,0.1,NO
,2025-04-24 12:56:35,No Signal,,,1.14,1.93,8.66,0.02,0.07,0.13,NO
,2025-04-24 12:56:35,No Signal,,,1.87,2.01,8.24,-0.01,0.05,0.23,NO
,2025-04-24 12:56:35,No Signal,,,1.75,1.44,9.72,-0.0,0.01,0.3,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:38,No Signal,,,9.96,2.5,5.55,-0.05,-0.27,0.34,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:38,No Signal,,,3.42,2.62,7.39,-0.07,0.26,0.32,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:38,No Signal,,,-0.26,1.39,9.08,0.03,0.01,0.32,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:40,No Signal,,,-0.07,1.83,8.03,0.04,0.3,0.23,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:40,No Signal,,,1.31,1.58,7.73,-0.04,0.02,0.14,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:40,No Signal,,,0.67,1.18,9.4,-0.13,0.07,0.05,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:42,No Signal,,,0.72,1.71,9.38,-0.0,0.06,0.02,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:42,No Signal,,,2.82,2.68,7.75,0.04,-0.15,0.04,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:42,No Signal,,,-0.53,0.98,9.48,0.04,0.02,0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:45,No Signal,,,1.47,0.29,8.21,-0.12,0.17,0.0,DETECTED
