,Time,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
94,1725715732.160427,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,1725715732.202691,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,1725715732.238573,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1725715732.2806077,,,,,-1.5625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1725715732.3228505,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
99,1725715732.364798,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
100,1725715732.4125159,,,,,,,,805.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
101,1725715732.448519,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
102,1725715732.4908206,,,,,,,,,,13.5 degree,,,,,,,,,,,,,,,,,,,,,
103,1725715732.532623,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
104,1725715732.5686822,,,,,,,,,,,,15.294117647058824 percent,,,,,,,,,,,,,,,,,,,
105,1725715732.6104593,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
106,1725715732.6526754,,,,,,,,,,,,,,0.26 volt,,,,,,,,,,,,,,,,,
107,1725715732.68868,,,,,,,,,,,,,,,0.69 volt,,,,,,,,,,,,,,,,
108,1725715732.7302418,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
109,1725715732.7724726,,,,,,,,,,,,,,,,,161.0 second,,,,,,,,,,,,,,
110,1725715732.808325,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
111,1725715732.8505974,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
112,1725715732.892682,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
113,1725715732.9285376,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
114,1725715732.9703732,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
115,1725715733.012552,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
116,1725715733.0482328,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
117,1725715733.0905297,,,,,,,,,,,,,,,,,,,,,,,,,13.735 volt,,,,,,
118,1725715733.1325908,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
119,1725715733.1806536,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
120,1725715733.222726,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
121,1725715733.258734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
122,1725715733.3007445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
123,1725715733.3427303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
124,1725715733.6426358,<obd.OBDResponse.Status object at 0x7fdf648ade10>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1725715733.6787038,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1725715733.720636,,,20.0 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1725715733.762434,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1725715733.7987971,,,,,-3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1725715733.8408482,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
130,1725715733.8825276,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
131,1725715733.9185412,,,,,,,,799.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
132,1725715733.9605463,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
133,1725715734.002738,,,,,,,,,,12.0 degree,,,,,,,,,,,,,,,,,,,,,
134,1725715734.0386076,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
135,1725715734.080673,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
136,1725715734.1222978,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
137,1725715734.1587212,,,,,,,,,,,,,,0.815 volt,,,,,,,,,,,,,,,,,
138,1725715734.2007337,,,,,,,,,,,,,,,0.675 volt,,,,,,,,,,,,,,,,
139,1725715734.2424083,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
140,1725715734.2784865,,,,,,,,,,,,,,,,,162.0 second,,,,,,,,,,,,,,
141,1725715734.3204443,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
142,1725715734.368458,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
143,1725715734.4106061,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
144,1725715734.452556,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
145,1725715734.488505,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
146,1725715734.53075,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
147,1725715734.5724173,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
148,1725715734.6085193,,,,,,,,,,,,,,,,,,,,,,,,,13.735 volt,,,,,,
149,1725715734.65074,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
150,1725715734.6927419,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
151,1725715734.7285984,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
152,1725715734.770725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
153,1725715734.8127055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
154,1725715734.8488488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
155,1725715735.1421025,<obd.OBDResponse.Status object at 0x7fdf648aec90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1725715735.1784675,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1725715735.2208998,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1725715735.2626023,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1725715735.2987463,,,,,-3.90625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1725715735.34073,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
161,1725715735.3826623,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
162,1725715735.418477,,,,,,,,780.0 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
163,1725715735.460652,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
164,1725715735.5023322,,,,,,,,,,11.0 degree,,,,,,,,,,,,,,,,,,,,,
165,1725715735.5386045,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
166,1725715735.5807495,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
167,1725715735.622472,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
168,1725715735.6585734,,,,,,,,,,,,,,0.125 volt,,,,,,,,,,,,,,,,,
169,1725715735.7007496,,,,,,,,,,,,,,,0.665 volt,,,,,,,,,,,,,,,,
170,1725715735.742422,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
171,1725715735.7786696,,,,,,,,,,,,,,,,,164.0 second,,,,,,,,,,,,,,
172,1725715735.8204298,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
173,1725715735.8625388,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
174,1725715735.8986127,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
175,1725715735.9407017,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
176,1725715735.9825191,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
177,1725715736.01872,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
178,1725715736.0603082,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
179,1725715736.1025264,,,,,,,,,,,,,,,,,,,,,,,,,13.829 volt,,,,,,
180,1725715736.144598,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
181,1725715736.1928403,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
182,1725715736.2286232,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
183,1725715736.2707262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
184,1725715736.3127441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
185,1725715736.3486977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
186,1725715736.642754,<obd.OBDResponse.Status object at 0x7fdf648afa90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1725715736.6785254,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1725715736.7208455,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1725715736.762578,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1725715736.7988093,,,,,-1.5625 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1725715736.8408222,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
192,1725715736.8826342,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
193,1725715736.9245276,,,,,,,,810.0 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
194,1725715736.9725041,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
195,1725715737.0088084,,,,,,,,,,11.0 degree,,,,,,,,,,,,,,,,,,,,,
196,1725715737.0504951,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
197,1725715737.0925508,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
198,1725715737.1282575,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
199,1725715737.1705985,,,,,,,,,,,,,,0.29 volt,,,,,,,,,,,,,,,,,
200,1725715737.2122717,,,,,,,,,,,,,,,0.685 volt,,,,,,,,,,,,,,,,
201,1725715737.2480726,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
202,1725715737.2904692,,,,,,,,,,,,,,,,,165.0 second,,,,,,,,,,,,,,
203,1725715737.3324385,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
204,1725715737.368545,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
205,1725715737.410722,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
206,1725715737.4525332,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
207,1725715737.4884949,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
208,1725715737.5307107,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
209,1725715737.5722857,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
210,1725715737.6084182,,,,,,,,,,,,,,,,,,,,,,,,,13.805 volt,,,,,,
211,1725715737.6506531,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
212,1725715737.6926613,,,,,,,,,,,,,,,,,,,,,,,,,,,5.490196078431373 percent,,,,
213,1725715737.7346866,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
214,1725715737.782847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
215,1725715737.8308623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
216,1725715737.8729131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
217,1725715738.1725266,<obd.OBDResponse.Status object at 0x7fdf6489d8d0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,1725715738.2144516,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,1725715738.250727,,,20.0 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,1725715738.2926927,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,1725715738.3350132,,,,,-3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1725715738.3827798,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
223,1725715738.4245744,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
224,1725715738.4725175,,,,,,,,789.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
225,1725715738.5144823,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
226,1725715738.5506968,,,,,,,,,,12.5 degree,,,,,,,,,,,,,,,,,,,,,
227,1725715738.5926328,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
228,1725715738.6346855,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
229,1725715738.6824493,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
230,1725715738.724564,,,,,,,,,,,,,,0.815 volt,,,,,,,,,,,,,,,,,
231,1725715738.772697,,,,,,,,,,,,,,,0.675 volt,,,,,,,,,,,,,,,,
232,1725715738.8140264,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
233,1725715738.8504677,,,,,,,,,,,,,,,,,167.0 second,,,,,,,,,,,,,,
234,1725715738.8923965,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
235,1725715738.9344628,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
236,1725715738.9827983,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
237,1725715739.0243263,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
238,1725715739.0726118,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
239,1725715739.114679,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
240,1725715739.1623755,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
241,1725715739.2044826,,,,,,,,,,,,,,,,,,,,,,,,,13.711 volt,,,,,,
242,1725715739.2405486,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
243,1725715739.282759,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
244,1725715739.3248208,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
245,1725715739.3727572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
246,1725715739.4147582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
247,1725715739.4628415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
248,1725715739.7506087,<obd.OBDResponse.Status object at 0x7fdf64aa6610>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,1725715739.7926009,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1725715739.8348153,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,1725715739.8826194,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,1725715739.924585,,,,,-5.46875 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
