Code,Trouble Code System,Condition Description
P004F,Powertrain,Turbocharger/Supercharger Boost Control Circuit Intermittent/Erratic
P0050,Powertrain,HO2S Heater Control Circuit (Bank 2 Sensor 1)
P0051,Powertrain,HO2S Heater Control Circuit Low (Bank 2 Sensor 1)
P0052,Powertrain,HO2S Heater Control Circuit High (Bank 2 Sensor 1)
P0053,Powertrain,"HO2S Heater Resistance (Bank 1, Sensor 1)"
P0054,Powertrain,"HO2S Heater Resistance (Bank 1, Sensor 2)"
P0055,Powertrain,"HO2S Heater Resistance (Bank 1, Sensor 3)"
P0056,Powertrain,HO2S Heater Control Circuit (Bank 2 Sensor 2)
P0057,Powertrain,HO2S Heater Control Circuit Low (Bank 2 Sensor 2)
P0058,Powertrain,HO2S Heater Control Circuit High (Bank 2 Sensor 2)
P0059,Powertrain,"HO2S Heater Resistance (Bank 2, Sensor 1)"
P005A,Powertrain,Camshaft Profile Control Performance/Stuck Off Bank 1
P005B,Powertrain,Camshaft Profile Control Stuck On Bank 1
P005C,Powertrain,Camshaft Profile Control Performance/Stuck Off Bank 2
P005D,Powertrain,Camshaft Profile Control Stuck On Bank 2
P005E,Powertrain,Turbocharger/Supercharger Boost Control Supply Voltage Circuit Low
P005F,Powertrain,Turbocharger/Supercharger Boost Control Supply Voltage Circuit High
P0060,Powertrain,"HO2S Heater Resistance (Bank 2, Sensor 2)"
P0061,Powertrain,"HO2S Heater Resistance (Bank 2, Sensor 3)"
P0062,Powertrain,HO2S Heater Control Circuit (Bank 2 Sensor 3)
P0063,Powertrain,HO2S Heater Control Circuit Low (Bank 2 Sensor 3)
P0064,Powertrain,HO2S Heater Control Circuit High (Bank 2 Sensor 3)
P0065,Powertrain,Air Assisted Injector Control Range/Performance
P0066,Powertrain,Air Assisted Injector Control Circuit or Circuit Low
P0067,Powertrain,Air Assisted Injector Control Circuit High
P0068,Powertrain,MAP/MAF - Throttle Position Correlation
P0069,Powertrain,Manifold Absolute Pressure - Barometric Pressure Correlation
P006A,Powertrain,MAP - Mass or Volume Air Flow Correlation Bank 1
P006B,Powertrain,MAP - Exhaust Pressure Correlation
P006C,Powertrain,MAP - Turbocharger/Supercharger Inlet Pressure Correlation
P006D,Powertrain,Barometric Pressure - Turbocharger/Supercharger Inlet Pressure Correlation
P006E,Powertrain,Turbocharger/Supercharger Boost Control Supply Voltage Circuit Low
P006F,Powertrain,Turbocharger/Supercharger Boost Control Supply Voltage Circuit High
P0070,Powertrain,Ambient Air Temperature Sensor Circuit
P0071,Powertrain,Ambient Air Temperature Sensor Range/Performance
P0072,Powertrain,Ambient Air Temperature Sensor Circuit Low Input
P0073,Powertrain,Ambient Air Temperature Sensor Circuit High Input
P0074,Powertrain,Ambient Air Temperature Sensor Circuit Intermittent
P0075,Powertrain,Intake Valve Control Solenoid Circuit (Bank 1)
P0076,Powertrain,Intake Valve Control Solenoid Circuit Low (Bank 1)
P0077,Powertrain,Intake Valve Control Solenoid Circuit High (Bank 1)
P0078,Powertrain,Exhaust Valve Control Solenoid Circuit (Bank 1)
P0079,Powertrain,Exhaust Valve Control Solenoid Circuit Low (Bank 1)
P007A,Powertrain,Charge Air Cooler Temperature Sensor Circuit Bank 1
P007B,Powertrain,Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 1
P007C,Powertrain,Charge Air Cooler Temperature Sensor Circuit Low Bank 1
P007D,Powertrain,Charge Air Cooler Temperature Sensor Circuit High Bank 1
P007E,Powertrain,Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 1
P007F,Powertrain,Charge Air Cooler Temperature Sensor Bank1/Bank2 Correlation
P0080,Powertrain,Exhaust Valve Control Solenoid Circuit High (Bank 1)
P0081,Powertrain,Intake valve Control Solenoid Circuit (Bank 2)
P0082,Powertrain,Intake Valve Control Solenoid Circuit Low (Bank 2)
P0083,Powertrain,Intake Valve Control Solenoid Circuit High (Bank 2)
P0084,Powertrain,Exhaust Valve Control Solenoid Circuit (Bank 2)
P0085,Powertrain,Exhaust Valve Control Solenoid Circuit Low (Bank 2)
P0086,Powertrain,Exhaust Valve Control Solenoid Circuit High (Bank 2)
P0087,Powertrain,Fuel Rail/System Pressure - Too Low
P0088,Powertrain,Fuel Rail/System Pressure - Too High
P0089,Powertrain,Fuel Pressure Regulator 1 Performance
P008A,Powertrain,Low Pressure Fuel System Pressure - Too Low
P008B,Powertrain,Low Pressure Fuel System Pressure - Too High
P008C,Powertrain,Fuel Cooler Pump Control Circuit Open
P008D,Powertrain,Fuel Cooler Pump Control Circuit Low
P008E,Powertrain,Fuel Cooler Pump Control Circuit High
P008F,Powertrain,Engine Coolant Temperature/Fuel Temperature Correlation
P0090,Powertrain,Fuel Pressure Regulator 1 Control Circuit
P0091,Powertrain,Fuel Pressure Regulator 1 Control Circuit Low
P0092,Powertrain,Fuel Pressure Regulator 1 Control Circuit High
P0093,Powertrain,Fuel System Leak Detected - Large Leak
P0094,Powertrain,Fuel System Leak Detected - Small Leak
P0095,Powertrain,Intake Air Temperature Sensor 2 Circuit Bank 1
P0096,Powertrain,Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 1
P0097,Powertrain,Intake Air Temperature Sensor 2 Circuit Low Bank 1
P0098,Powertrain,Intake Air Temperature Sensor 2 Circuit High Bank 1
P0099,Powertrain,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 1
P009A,Powertrain,Intake Air Temperature/Ambient Air Temperature Correlation
P009B,Powertrain,Fuel Pressure Relief Control Circuit/Open
P009C,Powertrain,Fuel Pressure Relief Control Circuit Low
P009D,Powertrain,Fuel Pressure Relief Control Circuit High
P009E,Powertrain,Fuel Pressure Relief Control Performance/Stuck Off
P009F,Powertrain,Fuel Pressure Relief Control Stuck On
P00A0,Powertrain,Charge Air Cooler Temperature Sensor Circuit Bank 2
P00A1,Powertrain,Charge Air Cooler Temperature Sensor Circuit Range/Performance Bank 2
P00A2,Powertrain,Charge Air Cooler Temperature Sensor Circuit Low Bank 2
P00A3,Powertrain,Charge Air Cooler Temperature Sensor Circuit High Bank 2
P00A4,Powertrain,Charge Air Cooler Temperature Sensor Circuit Intermittent/Erratic Bank 2
P00A5,Powertrain,Intake Air Temperature Sensor 2 Circuit Bank 2
P00A6,Powertrain,Intake Air Temperature Sensor 2 Circuit Range/Performance Bank 2
P00A7,Powertrain,Intake Air Temperature Sensor 2 Circuit Low Bank 2
P00A8,Powertrain,Intake Air Temperature Sensor 2 Circuit High Bank 2
P00A9,Powertrain,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic Bank 2
P00AA,Powertrain,Intake Air Temperature Sensor 1 Circuit Bank 2
P00AB,Powertrain,Intake Air Temperature Sensor 1 Circuit Range/Performance Bank 2
P00AC,Powertrain,Intake Air Temperature Sensor 1 Circuit Low Bank 2
P00AD,Powertrain,Intake Air Temperature Sensor 1 Circuit High Bank 2
P00AE,Powertrain,Intake Air Temperature Sensor 1 Circuit Intermittent/Erratic Bank 2
P00AF,Powertrain,Turbocharger/Supercharger Boost Control Module Performance
P00B0,Powertrain,Turbocharger/Supercharger Boost Control Module Performance
P00B1,Powertrain,Radiator Coolant Temperature Sensor Circuit
P00B2,Powertrain,Radiator Coolant Temperature Sensor Circuit Range/Performance
P00B3,Powertrain,Radiator Coolant Temperature Sensor Circuit Low
P00B4,Powertrain,Radiator Coolant Temperature Sensor Circuit High
P00B5,Powertrain,Radiator Coolant Temperature Sensor Circuit Intermittent/Erratic
P00B6,Powertrain,Radiator Coolant Temperature/Engine Coolant Temperature Correlation
P00B7,Powertrain,Engine Coolant Flow Low/Performance
P00B8,Powertrain,MAP - Mass or Volume Air Flow Correlation Bank 2
P00B9,Powertrain,"Low Pressure Fuel System Pressure - Too Low, Low Ambient Temperature"
P00BA,Powertrain,Low Fuel Pressure - Forced Limited Power
P00BB,Powertrain,Fuel Injector Insufficient Flow - Forced Limited Power
P00BC,Powertrain,Mass or Volume Air Flow Circuit Range/Performance - Air Flow Too Low
P00BD,Powertrain,Mass or Volume Air Flow Circuit Range/Performance - Air Flow Too High
P00BE,Powertrain,Mass or Volume Air Flow Circuit Range/Performance - Air Flow Too Low
P00BF,Powertrain,Mass or Volume Air Flow Circuit Range/Performance - Air Flow Too High
P0100,Powertrain,Mass or Volume Air Flow - Circuit Malfunction
P0101,Powertrain,Mass or Volume Air Flow - Circuit Range/Performance Problem
P0102,Powertrain,Mass or Volume Air Flow - Circuit Low Input
P0103,Powertrain,Mass or Volume Air Flow - Circuit High Input
P0104,Powertrain,Mass or Volume Air Flow - Circuit Intermittent
P0105,Powertrain,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction
P0106,Powertrain,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem
P0107,Powertrain,Barometric pressure sensor circuit low input
P0107,Powertrain,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input
P0108,Powertrain,Barometric pressure sensor circuit high input
P0108,Powertrain,Manifold Absolute Pressure/Barometric Pressure Circuit High Input
P0109,Powertrain,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent
P010A,Powertrain,Mass or Volume Air Flow - Circuit
P010B,Powertrain,Mass or Volume Air Flow - Circuit Range/Performance
P010C,Powertrain,Mass or Volume Air Flow - Circuit Low
P010D,Powertrain,Mass or Volume Air Flow - Circuit High
P010E,Powertrain,Mass or Volume Air Flow - Circuit Intermittent/Erratic
P010F,Powertrain,Mass or Volume Air Flow Sensor A/B Correlation
P0110,Powertrain,Intake Air Temperature Circuit Malfunction Bank 1
P0111,Powertrain,Intake Air Temperature Circuit Range/Performance Problem Bank 1
P0112,Powertrain,Intake air temp. sensor circuit low input
P0112,Powertrain,Intake Air Temperature Circuit Low Input Bank 1
P0113,Powertrain,Intake air temp. sensor circuit high input
P0113,Powertrain,Intake Air Temperature Circuit High Input Bank 1
P0114,Powertrain,Intake Air Temperature Circuit Intermittent Bank 1
P0115,Powertrain,Engine Coolant Temperature Sensor Circuit 1 Malfunction
P0116,Powertrain,Engine Coolant Temperature Sensor Circuit 1 Range/Performance Problem
P0117,Powertrain,Engine Coolant Temperature Sensor Circuit 1 Low Input
P0118,Powertrain,Engine Coolant Temperature Sensor Circuit 1 High Input
P0119,Powertrain,Engine Coolant Temperature Sensor Circuit 1 Intermittent
P011A,Powertrain,Engine Coolant Temperature Sensor 1/2 Correlation
P011B,Powertrain,Engine Coolant Temperature/Intake Air Temperature Correlation
P011C,Powertrain,Charge Air Temperature/Intake Air Temperature Correlation Bank 1
P011D,Powertrain,Charge Air Temperature/Intake Air Temperature Correlation Bank 2
P0120,Powertrain,Throttle Position Sensor/Switch A Circuit Malfunction
P0121,Powertrain,Throttle Position Sensor/Switch A Circuit Range/Performance Problem
P0122,Powertrain,Accelerator pedal sensor circuit low input
P0122,Powertrain,Throttle Position Sensor/Switch A Circuit Low Input
P0123,Powertrain,Accelerator pedal sensor circuit high input
P0123,Powertrain,Throttle Position Sensor/Switch A Circuit High Input
P0124,Powertrain,Throttle Position Sensor/Switch A Circuit Intermittent
P0125,Powertrain,Insufficient Coolant Temperature for Closed Loop Fuel Control
P0126,Powertrain,Insufficient Coolant Temperature for Stable Operation
P0127,Powertrain,Intake Air Temperature Too High
P0128,Powertrain,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature)
P0129,Powertrain,Barometric Pressure Too Low
P012A,Powertrain,Turbocharger/Supercharger Inlet Pressure Sensor Circuit (Downstream of throttle valve) 
P012B,Powertrain,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Range/Performance (Downstream of throttle valve) 
P012C,Powertrain,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Low (Downstream of throttle valve)
P012D,Powertrain,Turbocharger/Supercharger Inlet Pressure Sensor Circuit High (Downstream of throttle valve) 
P012E,Powertrain,Turbocharger/Supercharger Inlet Pressure Sensor Circuit Intermittent/Erratic (Downstream of throttle valve)
P0130,Powertrain,02 Sensor Circuit Malfunction (Bank I Sensor 1)
P0131,Powertrain,02 Sensor Circuit Low Voltage (Bank I Sensor I)
P0132,Powertrain,02 Sensor Circuit High Voltage (Bank I Sensor 1)
P0133,Powertrain,02 Sensor Circuit Slow Response (Bank 1 Sensor 1)
P0134,Powertrain,02 Sensor Circuit No Activity Detected (Bank I Sensor 1)
P0135,Powertrain,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)
P0136,Powertrain,02 Sensor Circuit Malfunction (Bank I Sensor 2)
P0137,Powertrain,02 Sensor Circuit Low Voltage (Bank I Sensor 2)
P0138,Powertrain,02 Sensor Circuit High Voltage (Bank I Sensor 2)
P0139,Powertrain,02 Sensor Circuit Slow Response (Bank 1 Sensor 2)
P013A,Powertrain,O2 Sensor Slow Response - Rich to Lean (Bank 1 Sensor 2)
P013B,Powertrain,O2 Sensor Slow Response - Lean to Rich (Bank 1 Sensor 2)
P013C,Powertrain,O2 Sensor Slow Response - Rich to Lean (Bank 2 Sensor 2)
P013D,Powertrain,O2 Sensor Slow Response - Lean to Rich (Bank 2 Sensor 2)
P013E,Powertrain,O2 Sensor Delayed Response - Rich to Lean (Bank 1 Sensor 2)
P013F,Powertrain,O2 Sensor Delayed Response - Lean to Rich (Bank 1 Sensor 2)
P0140,Powertrain,02 Sensor Circuit No Activity Detected (Bank 1 Sensor 2)
P0141,Powertrain,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2)
P0142,Powertrain,02 Sensor Circuit Malfunction (Bank 1 Sensor 3)
P0143,Powertrain,02 Sensor Circuit Low Voltage (Bank 1 Sensor 3)
P0144,Powertrain,02 Sensor Circuit High Voltage (Bank 1 Sensor 3)
P0145,Powertrain,02 Sensor Circuit Slow Response (Bank 1 Sensor 3)
P0146,Powertrain,02 Sensor Circuit No Activity Detected (Bank 1 Sensor 3)
P0147,Powertrain,02 Sensor Heater Circuit Malfunction (Bank 1 Sensor 3)
P0148,Powertrain,Fuel Delivery Error 
P0149,Powertrain,Fuel Timing Error
P014A,Powertrain,O2 Sensor Delayed Response - Rich to Lean (Bank 2 Sensor 2)
P014B,Powertrain,O2 Sensor Delayed Response - Lean to Rich (Bank 2 Sensor 2)
P014C,Powertrain,O2 Sensor Slow Response - Rich to Lean (Bank 1 Sensor 1)
P014D,Powertrain,O2 Sensor Slow Response - Lean to Rich (Bank 1 Sensor 1)
P014E,Powertrain,O2 Sensor Slow Response - Rich to Lean (Bank 2 Sensor 1)
P014F,Powertrain,O2 Sensor Slow Response - Lean to Rich (Bank 2 Sensor 1)
P0150,Powertrain,02 Sensor Circuit Malfunction (Bank 2 Sensor 1)
P0151,Powertrain,02 Sensor Circuit Low Voltage (Bank 2 Sensor 1)
P0152,Powertrain,02 Sensor Circuit High Voltage (Bank 2 Sensor 1)
P0153,Powertrain,02 Sensor Circuit Slow Response (Bank 2 Sensor 1)
P0154,Powertrain,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 1)
P0155,Powertrain,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 1)
P0156,Powertrain,02 Sensor Circuit Malfunction (Bank 2 Sensor 2)
P0157,Powertrain,02 Sensor Circuit Low Voltage (Bank 2 Sensor 2)
P0158,Powertrain,02 Sensor Circuit High Voltage (Bank 2 Sensor 2)
P0159,Powertrain,02 Sensor Circuit Slow Response (Bank 2 Sensor 2)
P015A,Powertrain,O2 Sensor Delayed Response - Rich to Lean	(Bank 1 Sensor 1)
P015B,Powertrain,O2 Sensor Delayed Response - Lean to Rich	(Bank 1 Sensor 1)
P015C,Powertrain,O2 Sensor Delayed Response - Rich to Lean	(Bank 2 Sensor 1)
P015D,Powertrain,O2 Sensor Delayed Response - Lean to Rich	(Bank 2 Sensor 1)
P0160,Powertrain,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 2)
P0161,Powertrain,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 2)
P0162,Powertrain,02 Sensor Circuit Malfunction (Bank 2 Sensor 3)
P0163,Powertrain,02 Sensor Circuit Low Voltage (Bank 2 Sensor 3)
P0164,Powertrain,02 Sensor Circuit High Voltage (Bank 2 Sensor 3)
P0165,Powertrain,02 Sensor Circuit Slow Response (Bank 2 Sensor 3)
P0166,Powertrain,02 Sensor Circuit No Activity Detected (Bank 2 Sensor 3)
P0167,Powertrain,02 Sensor Heater Circuit Malfunction (Bank 2 Sensor 3)
P0168,Powertrain,Fuel Temperature Too High
P0169,Powertrain,Incorrect Fuel Composition 
P0170,Powertrain,Fuel Trim Malfunction (Bank 1)
P0171,Powertrain,System too Lean (Bank 1)
P0172,Powertrain,System too Rich (Bank 1)
P0173,Powertrain,Fuel Trim Malfunction (Bank 2)
P0174,Powertrain,System too Lean (Bank 2)
P0175,Powertrain,System too Rich (Bank 2)
P0176,Powertrain,Fuel Composition Sensor Circuit Malfunction
P0177,Powertrain,Fuel Composition Sensor Circuit Range/Performance
P0178,Powertrain,Fuel Composition Sensor Circuit Low Input
P0179,Powertrain,Fuel Composition Sensor Circuit High Input
P0180,Powertrain,Fuel Temperature Sensor A Circuit Malfunction
P0181,Powertrain,Fuel Temperature Sensor A Circuit Range/Performance
P0182,Powertrain,Fuel Temperature Sensor A Circuit Low Input
P0183,Powertrain,Fuel Temperature Sensor A Circuit High Input
P0184,Powertrain,Fuel Temperature Sensor A Circuit Intermittent
P0185,Powertrain,Fuel Temperature Sensor B Circuit Malfunction
P0186,Powertrain,Fuel Temperature Sensor B Circuit Range/Performance
P0187,Powertrain,Fuel Temperature Sensor B Circuit Low Input
P0188,Powertrain,Fuel Temperature Sensor B Circuit High Input
P0189,Powertrain,Fuel Temperature Sensor B Circuit Intermittent
P018A,Powertrain,Fuel Pressure Sensor - Circuit 
P018B,Powertrain,Fuel Pressure Sensor - Circuit Range/Performance
P018C,Powertrain,Fuel Pressure Sensor - Circuit Low
P018D,Powertrain,Fuel Pressure Sensor - Circuit High
P018E,Powertrain,Fuel Pressure Sensor - Circuit Intermittent/Erratic 
P018F,Powertrain,Fuel System Over Pressure Relief Valve Frequent Activation
P0190,Powertrain,Fuel Rail Pressure Sensor A Circuit
P0191,Powertrain,Fuel Rail Pressure Sensor A Circuit Range/Performance
P0192,Powertrain,Fuel Rail Pressure Sensor A Circuit Low Input
P0193,Powertrain,Fuel Rail Pressure Sensor A Circuit High Input
P0194,Powertrain,Fuel Rail Pressure Sensor A Circuit Intermittent
P0195,Powertrain,Engine Oil Temperature Sensor Malfunction
P0196,Powertrain,Engine Oil Temperature Sensor Range/Performance
P0197,Powertrain,Engine oil temp. sensor circuit low input
P0197,Powertrain,Engine Oil Temperature Sensor Low
P0198,Powertrain,Engine oil temp. sensor circuit high input
P0198,Powertrain,Engine Oil Temperature Sensor High
P0199,Powertrain,Engine Oil Temperature Sensor Intermittent
P0200,Powertrain,Injector Circuit Malfunction
P0201,Powertrain,Injector Circuit Malfunction - Cylinder 1
P0202,Powertrain,Injector Circuit Malfunction - Cylinder 2
P0203,Powertrain,Injector Circuit Malfunction - Cylinder 3
P0204,Powertrain,Injector Circuit Malfunction - Cylinder 4
P0205,Powertrain,Injector Circuit Malfunction - Cylinder 5
P0206,Powertrain,Injector Circuit Malfunction - Cylinder 6
P0207,Powertrain,Injector Circuit Malfunction - Cylinder 7
P0208,Powertrain,Injector Circuit Malfunction - Cylinder 8
P0209,Powertrain,Injector Circuit Malfunction - Cylinder 9
P020A,Powertrain,Cylinder 1 Injection Timing
P020B,Powertrain,Cylinder 2 Injection Timing
P020C,Powertrain,Cylinder 3 Injection Timing
P020D,Powertrain,Cylinder 4 Injection Timing
P020E,Powertrain,Cylinder 5 Injection Timing
P020F,Powertrain,Cylinder 6 Injection Timing
P0210,Powertrain,Injector Circuit Malfunction - Cylinder 10
P0211,Powertrain,Injector Circuit Malfunction - Cylinder 11
P0212,Powertrain,Injector Circuit Malfunction - Cylinder 12
P0213,Powertrain,Cold Start Injector 1 Malfunction
P0214,Powertrain,Cold Start Injector 2 Malfunction
P0215,Powertrain,Engine Shutoff Solenoid Malfunction
P0216,Powertrain,Injection Timing Control Circuit Malfunction
P0217,Powertrain,Engine Overtemp Condition
P0218,Powertrain,Transmission Over Temperature Condition
P0219,Powertrain,Engine Overspeed Condition
P021A,Powertrain,Cylinder 7 Injection Timing
P021B,Powertrain,Cylinder 8 Injection Timing
P021C,Powertrain,Cylinder 9 Injection Timing
P021D,Powertrain,Cylinder 10 Injection Timing
P021E,Powertrain,Cylinder 11 Injection Timing
P021F,Powertrain,Cylinder 12 Injection Timing
P0220,Powertrain,Throttle switch B circuit malfunction
P0220,Powertrain,Throttle/Pedal Position Sensor/Switch B Circuit Malfunction
P0221,Powertrain,Throttle switch B circuit performance
P0221,Powertrain,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance
P0222,Powertrain,Throttle/Pedal Position Sensor/Switch B Circuit Low Input
P0223,Powertrain,Throttle/Pedal Position Sensor/Switch B Circuit High Input
P0224,Powertrain,Throttle/Pedal Position Sensor/Switch B Circuit Intermittent
P0225,Powertrain,Throttle/Pedal Position Sensor/Switch C Circuit Malfunction
P0226,Powertrain,Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance
P0227,Powertrain,Throttle/Pedal Position Sensor/Switch C Circuit Low Input
P0228,Powertrain,Throttle/Pedal Position Sensor/Switch C Circuit High Input
P0229,Powertrain,Throttle/Pedal Position Sensor/Switch C Circuit Intermittent
P022A,Powertrain,Charge Air Cooler Bypass Control - Circuit Open
P022B,Powertrain,Charge Air Cooler Bypass Control - Circuit Low
P022C,Powertrain,Charge Air Cooler Bypass Control - Circuit High
P022D,Powertrain,Charge Air Cooler Bypass Control - Circuit Open
P022E,Powertrain,Charge Air Cooler Bypass Control - Circuit Low
P022F,Powertrain,Charge Air Cooler Bypass Control - Circuit High
P0230,Powertrain,Fuel pump relay driver failure
P0230,Powertrain,Fuel Pump Primary Circuit Malfunction
P0231,Powertrain,Fuel pump circuit failure
P0231,Powertrain,Fuel Pump Secondary Circuit Low
P0232,Powertrain,Fuel pump circuit failure
P0232,Powertrain,Fuel Pump Secondary Circuit High
P0233,Powertrain,Fuel Pump Secondary Circuit Intermittent
P0234,Powertrain,Engine Turbocharger/Supercharger Overboost Condition
P0235,Powertrain,Turbocharger Boost Sensor A Circuit Malfunction
