Timestamp,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,MAF,THROTTLE_POS,O2_SENSORS,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,O2_S1_WR_VOLTAGE,COMMANDED_EGR,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,O2_S1_WR_CURRENT,CATALYST_TEMP_B1S1,CATALYST_TEMP_B1S2,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,COMMANDED_EQUIV_RATIO,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,THROTTLE_ACTUATOR,RUN_TIME_MIL,TIME_SINCE_DTC_CLEARED,FUEL_TYPE,Timestamp_gps,Latitude,Longitude
1728327029.34872,,,0,83,,,115,1300,100,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327029.99105,15.262602,73.978127
1728327029.64699,,,0,83,,,115,1320,96,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327030.09307,15.262602,73.978127
1728327031.26855,,,0,83,,,115,1340,92,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327031.90008,15.262602,73.978127
1728327031.56415,,,0,83,,,115,1360,88,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327032.00405,15.262602,73.978127
1728327033.18348,,,0,83,,,115,1380,84,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327033.82609,15.262602,73.978127
1728327033.48181,,,0,83,,,115,1400,80,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327033.929,15.262602,73.978127
1728327127.00163,,,0,83,,,115,1420,76,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327128.08386,15.26256,73.978119
1728327127.78513,,,0,83,,,115,1440,72,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327128.186,15.26256,73.978119
1728327129.36887,,,0,83,,,115,1460,68,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327129.99591,15.26256,73.978119
1728327129.66681,,,0,83,,,115,1480,64,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327130.09981,15.26256,73.978119
1728327131.27201,,,0,83,,,115,1500,60,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327131.91718,15.26256,73.978119
1728327131.56863,,,0,83,,,115,1520,56,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327132.02184,15.26256,73.978119
1728327384.84942,,,0,83,,,115,1620,36,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327385.48778,15.262575,73.977936
1728327385.14736,,,0,83,,,115,1640,32,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327385.59274,15.262575,73.977936
1728327386.78051,,,0,83,,,115,1660,28,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327387.42221,15.262575,73.977936
1728327387.07679,,,0,83,,,115,1680,24,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327387.52633,15.262575,73.977936
1728327388.69807,,,0,83,,,115,1700,20,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327389.2857,15.262575,73.977936
1728327388.99466,,,0,83,,,115,1720,16,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327389.38976,15.262575,73.977936
1728327390.551,,,0,83,,,115,1740,12,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327391.14832,15.262575,73.977936
1728327390.85039,,,0,83,,,115,1760,8,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327391.25255,15.262575,73.977937
1728327392.4275,,,0,83,,,115,1780,4,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327393.0802,15.262575,73.977937
1728327392.72552,,,0,83,,,115,1800,0,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327393.1838,15.262575,73.977937
1728327394.35633,,,0,83,,,115,1820,4,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327394.99401,15.262575,73.977937
1728327394.64807,,,0,83,,,115,1840,8,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327395.09792,15.262575,73.977937
1728327396.26997,,,0,83,,,115,1860,12,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327396.91127,15.262575,73.977937
1728327396.5615,,,0,83,,,115,1880,16,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327397.01602,15.262575,73.977937
1728327398.18802,,,0,83,,,115,1900,20,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327398.82298,15.262575,73.977939
1728327398.48459,,,0,83,,,115,1920,24,,28,13.11,100,,,EOBD (Europe),140,1.0010000000101E+031,0,,5.09803921568627,,,51231,101,,69.2,,1.111010000111E+030,14.806,,,,,0,0,19561,Gasoline,1728327398.92697,15.262575,73.977939
