ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,BAROMETRIC_PRESSURE,CALIBRATION_ID,CLEAR_DTC,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_BAROMETRIC_PRESSURE,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_STATUS,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_O2_B1S1,DTC_O2_B1S2,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_STATUS,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,MIDS_A,MIDS_B,MONITOR_CATALYST_B1,MONITOR_O2_B1S1,O2_B1S1,O2_B1S2,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:22,Signal Acquired,15.516489,73.945877,1.08,2.21,8.51,-0.04,0.03,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:22,Signal Acquired,15.516489,73.945877,1.74,2.04,9.13,-0.04,-0.03,-0.0,DETECTED
20.0 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,53 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,25.88235294117647 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],33 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.775 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,778.75 revolutions_per_minute,98.0 second,-3.125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e3b2b0>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,12.0 degree,0.0 count,2025-04-24 16:43:27,2025-04-24 16:43:30,2025-04-24 16:43:27,Signal Acquired,15.51649,73.945877,1.18,2.26,8.44,-0.01,0.05,0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:27,Signal Acquired,15.51649,73.945877,1.31,2.18,9.07,-0.05,-0.02,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:27,Signal Acquired,15.516492,73.945878,1.71,2.05,8.57,-0.03,0.04,-0.0,DETECTED
20.392156862745097 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.584 volt,54 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,25.49019607843137 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],33 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.83 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,766.25 revolutions_per_minute,103.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e6bd90>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,15.5 degree,0.0 count,2025-04-24 16:43:31,2025-04-24 16:43:35,2025-04-24 16:43:31,Signal Acquired,15.516492,73.945878,0.81,2.16,8.45,-0.05,0.05,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:31,Signal Acquired,15.516489,73.945879,1.63,2.1,8.78,-0.05,-0.01,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:31,Signal Acquired,15.516489,73.945879,2.0,2.05,8.7,-0.02,0.03,-0.0,DETECTED
20.0 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.823 volt,54 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.6 volt,25.49019607843137 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],31 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.815 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,748.25 revolutions_per_minute,108.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e69ae0>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,12.5 degree,0.0 count,2025-04-24 16:43:36,2025-04-24 16:43:40,2025-04-24 16:43:36,Signal Acquired,15.516486,73.945881,1.7,2.1,8.69,0.01,0.06,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:36,Signal Acquired,15.516486,73.945881,1.19,2.2,8.53,-0.02,0.06,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:36,Signal Acquired,15.516482,73.945882,1.74,2.04,8.61,-0.0,0.06,-0.01,DETECTED
20.0 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.784 volt,55 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.6 volt,25.49019607843137 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.82 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,745.5 revolutions_per_minute,113.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e7c790>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,13.5 degree,0.0 count,2025-04-24 16:43:41,2025-04-24 16:43:45,2025-04-24 16:43:41,Signal Acquired,15.516482,73.945882,1.96,2.02,8.74,0.02,0.05,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:41,Signal Acquired,15.516483,73.945882,2.02,1.91,8.87,-0.01,0.03,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:41,Signal Acquired,15.516483,73.945882,2.02,1.88,9.09,-0.03,-0.04,0.0,DETECTED
21.56862745098039 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.662 volt,55 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,26.666666666666668 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],34 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.075 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,757.25 revolutions_per_minute,118.0 second,-1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0eb4a30>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,13.5 degree,0.0 count,2025-04-24 16:43:47,2025-04-24 16:43:50,2025-04-24 16:43:46,Signal Acquired,15.516483,73.945883,0.92,2.33,8.51,-0.08,-0.01,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:46,Signal Acquired,15.516483,73.945883,0.57,2.54,8.29,-0.02,0.06,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:46,Signal Acquired,15.516483,73.945885,1.03,2.25,8.48,-0.01,0.06,-0.0,DETECTED
20.0 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,56 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,25.49019607843137 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.85 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,4.705882352941177 percent,742.5 revolutions_per_minute,123.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0eb4040>,6.2745098039215685 percent,14.117647058823529 percent,14.117647058823529 percent,28.5 degree,0.0 count,2025-04-24 16:43:51,2025-04-24 16:43:55,2025-04-24 16:43:51,Signal Acquired,15.516483,73.945885,2.18,2.07,8.92,-0.01,0.0,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:51,Signal Acquired,15.516477,73.945886,1.15,2.18,8.56,-0.08,-0.01,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:51,Signal Acquired,15.516477,73.945886,0.74,2.51,8.52,0.02,0.09,-0.0,DETECTED
21.176470588235293 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,56 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,26.666666666666668 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.075 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,754.0 revolutions_per_minute,127.0 second,-0.78125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0ecbfd0>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,12.0 degree,0.0 count,2025-04-24 16:43:56,2025-04-24 16:43:59,2025-04-24 16:43:56,Signal Acquired,15.516474,73.945888,2.11,1.88,8.94,-0.0,0.03,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:56,Signal Acquired,15.516474,73.945888,1.69,1.86,8.88,-0.07,-0.03,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:56,Signal Acquired,15.516475,73.945888,0.57,2.54,8.47,-0.03,0.09,-0.0,DETECTED
20.0 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,57 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,25.49019607843137 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.81 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,4.705882352941177 percent,721.0 revolutions_per_minute,132.0 second,-2.34375 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0eca500>,6.2745098039215685 percent,14.117647058823529 percent,13.72549019607843 percent,12.0 degree,0.0 count,2025-04-24 16:44:01,2025-04-24 16:44:04,2025-04-24 16:44:01,Signal Acquired,15.516475,73.945888,2.32,1.96,9.12,-0.01,-0.02,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:01,Signal Acquired,15.516478,73.945888,0.49,2.54,8.7,-0.08,0.02,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:01,Signal Acquired,15.516478,73.945888,1.26,2.31,8.5,0.01,0.07,-0.0,DETECTED
19.607843137254903 percent,16.07843137254902 percent,10.196078431372548 percent,100 kilopascal,bytearray(b'33920-67P0*'),,0.0 volt,58 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,28.235294117647058 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],35 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.055 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.490196078431373 percent,812.0 revolutions_per_minute,137.0 second,-0.78125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e9e560>,7.0588235294117645 percent,14.509803921568627 percent,14.509803921568627 percent,6.0 degree,0.0 count,2025-04-24 16:44:06,2025-04-24 16:44:09,2025-04-24 16:44:06,Signal Acquired,15.516479,73.945888,2.07,1.83,8.78,-0.04,-0.03,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:06,Signal Acquired,15.516479,73.945888,0.26,2.32,8.64,-0.08,0.06,-0.02,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:44:06,Signal Acquired,15.51648,73.945888,1.92,2.08,8.82,0.02,0.03,0.0,DETECTED
